Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2023-08-19,15:30 (06:30),Bundesliga,Matchweek 1,Sat,Home,L,1,2,Freiburg,1,22,4,18.2,0.05,0.25,17.6,0.0,0,0,1.4,1.4,0.06,-0.4,-0.4,7,2,6,71.4,0,1.8,0.8,0,0,0,0,6.0,14.0,42.9,31.0,10.0,22.6,29.2,10.0,70.0,44.3,18.0,0.0,0.0,1.0,17.8,385.0,502.0,76.7,7744.0,3332.0,134.0,163.0,82.2,201.0,232.0,86.6,49.0,86.0,57.0,0,1.1,1.7,16.0,42.0,11.0,3.0,55.0,502.0,457.0,42.0,9.0,1.0,5.0,24,16.0,4.0,1.0,1.0,0.0,385.0,3.0,14.0,37.0,28.0,3.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,5,5.0,5.0,1.0,6.0,20.0,30.0,14.0,10.0,4.0,6.0,7,18,24.0,0.0,50.0,623.0,80.0,185.0,263.0,177.0,36.0,623.0,11.0,4.0,36.4,5.0,45.5,349.0,1905.0,1114.0,27.0,15.0,8.0,10.0,12.0,382.0,55.0,0,0,0,9,9,3,24,7,5,0.0,0.0,1,54.0,20.0,25.0,44.4,1
2023-08-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Away,W,3,2,Heidenheim,3,15,5,33.3,0.13,0.4,18.8,2.0,1,1,3.0,2.2,0.15,0.0,-0.2,8,2,5,75.0,0,2.7,0.7,1,0,1,0,10.0,17.0,58.8,37.0,6.0,35.1,31.6,10.0,40.0,36.1,25.0,0.0,0.0,5.0,22.9,442.0,548.0,80.7,8432.0,3256.0,166.0,191.0,86.9,197.0,225.0,87.6,62.0,100.0,62.0,1,1.2,1.4,11.0,40.0,7.0,1.0,52.0,548.0,491.0,56.0,10.0,1.0,2.0,25,27.0,6.0,3.0,3.0,0.0,442.0,1.0,10.0,28.0,16.0,2.0,4.0,2.0,4.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,11.0,6,4.0,4.0,3.0,7.0,13.0,53.8,6.0,16.0,5.0,11.0,13,24,21.0,0.0,62.0,669.0,76.0,172.0,334.0,164.0,21.0,668.0,21.0,9.0,42.9,11.0,52.4,328.0,1839.0,1018.0,17.0,9.0,8.0,10.0,3.0,439.0,52.0,5,0,0,9,13,1,25,13,6,1.0,1.0,0,46.0,21.0,15.0,58.3,1
2023-09-02,15:30 (06:30),Bundesliga,Matchweek 3,Sat,Home,W,3,1,Wolfsburg,3,10,5,50.0,0.3,0.6,16.9,1.0,0,0,2.0,2.0,0.2,1.0,1.0,7,1,6,85.7,0,1.7,0.7,0,0,0,0,6.0,19.0,31.6,32.0,4.0,46.9,39.7,8.0,50.0,43.6,16.0,2.0,12.5,2.0,14.3,282.0,379.0,74.4,5423.0,2421.0,120.0,137.0,87.6,114.0,137.0,83.2,43.0,81.0,53.1,3,1.9,1.4,9.0,21.0,5.0,1.0,24.0,379.0,329.0,46.0,13.0,2.0,3.0,13,20.0,3.0,1.0,0.0,0.0,282.0,4.0,11.0,17.0,11.0,4.0,0.0,0.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,8,10.0,1.0,1.0,5.0,10.0,50.0,5.0,9.0,2.0,7.0,9,21,17.0,0.0,40.0,468.0,65.0,171.0,199.0,101.0,17.0,468.0,10.0,3.0,30.0,6.0,60.0,281.0,1304.0,598.0,8.0,5.0,3.0,17.0,3.0,276.0,24.0,2,0,0,12,13,4,13,9,8,0.0,0.0,0,44.0,9.0,7.0,56.3,1
2023-09-16,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Away,W,3,1,Köln,3,13,5,38.5,0.23,0.6,20.6,2.0,0,0,1.0,1.0,0.08,2.0,2.0,6,1,5,83.3,0,0.8,-0.2,0,0,0,0,7.0,28.0,25.0,36.0,2.0,52.8,43.8,13.0,69.2,48.7,34.0,1.0,2.9,1.0,14.3,263.0,383.0,68.7,5007.0,2373.0,109.0,135.0,80.7,109.0,134.0,81.3,40.0,90.0,44.4,1,0.5,0.4,6.0,22.0,8.0,2.0,24.0,383.0,323.0,59.0,16.0,0.0,2.0,15,24.0,4.0,0.0,3.0,0.0,263.0,1.0,13.0,21.0,15.0,1.0,1.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,12.0,8,5.0,6.0,1.0,5.0,13.0,38.5,8.0,20.0,6.0,14.0,10,22,45.0,0.0,44.0,535.0,108.0,241.0,190.0,109.0,21.0,535.0,18.0,7.0,38.9,10.0,55.6,244.0,1272.0,578.0,13.0,7.0,3.0,20.0,9.0,256.0,23.0,4,0,0,14,13,1,15,10,8,0.0,0.0,0,65.0,11.0,21.0,34.4,1
2023-09-23,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Away,W,2,0,Union Berlin,2,10,2,20.0,0.1,0.5,19.1,2.0,1,1,2.0,1.2,0.12,0.0,-0.2,5,0,5,100.0,1,0.8,0.8,0,0,0,0,4.0,20.0,20.0,23.0,7.0,34.8,34.0,14.0,85.7,62.4,27.0,3.0,11.1,4.0,13.8,311.0,427.0,72.8,5612.0,2484.0,135.0,158.0,85.4,129.0,158.0,81.6,38.0,79.0,48.1,1,1.1,1.2,8.0,17.0,5.0,0.0,24.0,427.0,378.0,48.0,8.0,1.0,2.0,12,19.0,6.0,2.0,2.0,0.0,311.0,1.0,11.0,20.0,9.0,4.0,2.0,1.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,12.0,7,7.0,2.0,3.0,7.0,16.0,43.8,9.0,20.0,8.0,12.0,9,21,40.0,1.0,43.0,577.0,85.0,218.0,266.0,94.0,11.0,576.0,20.0,7.0,35.0,11.0,55.0,284.0,1461.0,724.0,11.0,8.0,2.0,16.0,8.0,308.0,24.0,3,0,0,13,10,1,12,9,7,1.0,0.0,0,58.0,17.0,21.0,44.7,1
2023-09-29,20:30 (11:30),Bundesliga,Matchweek 6,Fri,Home,L,1,3,Dortmund,1,14,2,14.3,0.0,0.0,18.7,2.0,1,1,1.9,1.2,0.08,-0.9,-1.2,5,3,2,40.0,0,2.8,-0.2,0,0,0,0,1.0,4.0,25.0,20.0,3.0,20.0,28.8,5.0,0.0,26.2,14.0,2.0,14.3,0.0,10.6,380.0,478.0,79.5,6707.0,2678.0,164.0,187.0,87.7,160.0,196.0,81.6,41.0,65.0,63.1,0,1.0,1.6,10.0,45.0,10.0,2.0,47.0,478.0,424.0,54.0,15.0,1.0,1.0,17,27.0,4.0,2.0,1.0,0.0,380.0,0.0,9.0,26.0,14.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,10,7.0,4.0,3.0,5.0,14.0,35.7,9.0,4.0,0.0,4.0,10,24,18.0,1.0,53.0,590.0,43.0,142.0,258.0,194.0,25.0,589.0,20.0,5.0,25.0,11.0,55.0,374.0,1550.0,669.0,16.0,10.0,6.0,10.0,12.0,377.0,47.0,3,0,0,14,16,0,17,10,10,1.0,0.0,0,58.0,18.0,10.0,64.3,1
2023-10-07,18:30 (09:30),Bundesliga,Matchweek 7,Sat,Away,W,3,2,Werder Bremen,3,10,4,40.0,0.3,0.75,17.2,0.0,0,0,1.9,1.9,0.19,1.1,1.1,3,2,1,33.3,0,1.2,-0.8,0,0,0,0,8.0,30.0,26.7,44.0,7.0,56.8,41.7,7.0,71.4,54.0,16.0,1.0,6.3,1.0,19.5,426.0,567.0,75.1,7773.0,3199.0,177.0,204.0,86.8,179.0,223.0,80.3,51.0,103.0,49.5,2,1.8,1.2,8.0,36.0,9.0,1.0,40.0,567.0,515.0,48.0,17.0,3.0,2.0,14,17.0,4.0,0.0,3.0,0.0,426.0,4.0,9.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,9,5.0,9.0,1.0,7.0,14.0,50.0,7.0,9.0,3.0,6.0,8,23,19.0,0.0,52.0,676.0,73.0,189.0,366.0,130.0,16.0,676.0,18.0,7.0,38.9,10.0,55.6,416.0,1974.0,894.0,18.0,16.0,4.0,13.0,8.0,424.0,40.0,4,0,0,7,14,4,14,8,9,0.0,0.0,0,76.0,21.0,22.0,48.8,1
2023-10-21,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,L,1,3,Eint Frankfurt,1,14,4,28.6,0.07,0.25,15.3,1.0,0,0,1.4,1.4,0.1,-0.4,-0.4,5,3,2,40.0,0,2.8,-0.2,0,0,0,0,2.0,8.0,25.0,38.0,3.0,18.4,22.8,8.0,12.5,26.3,6.0,0.0,0.0,4.0,27.5,501.0,618.0,81.1,9071.0,3320.0,199.0,226.0,88.1,229.0,262.0,87.4,56.0,94.0,59.6,1,1.0,1.1,11.0,58.0,11.0,3.0,61.0,618.0,565.0,48.0,6.0,9.0,1.0,25,24.0,6.0,2.0,4.0,0.0,501.0,5.0,11.0,27.0,19.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,12,7.0,6.0,4.0,9.0,16.0,56.3,7.0,14.0,4.0,10.0,5,22,15.0,0.0,54.0,729.0,58.0,197.0,339.0,196.0,19.0,729.0,9.0,3.0,33.3,6.0,66.7,449.0,2273.0,1144.0,17.0,11.0,2.0,11.0,12.0,494.0,61.0,3,0,0,7,7,5,25,5,12,0.0,0.0,0,66.0,11.0,9.0,55.0,1
2023-10-28,15:30 (06:30),Bundesliga,Matchweek 9,Sat,Away,W,3,2,Stuttgart,3,6,4,66.7,0.33,0.5,20.0,0.0,1,1,1.7,0.9,0.17,1.3,1.1,10,2,7,80.0,0,3.7,1.7,1,0,1,0,11.0,28.0,39.3,21.0,0.0,76.2,52.8,14.0,85.7,58.8,21.0,1.0,4.8,0.0,11.0,180.0,283.0,63.6,3650.0,1887.0,76.0,99.0,76.8,74.0,106.0,69.8,28.0,68.0,41.2,0,0.3,0.5,2.0,19.0,1.0,0.0,22.0,283.0,238.0,44.0,13.0,3.0,2.0,6,14.0,0.0,0.0,0.0,0.0,180.0,1.0,1.0,11.0,7.0,0.0,1.0,2.0,1.0,0.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,23.0,14,21.0,2.0,0.0,14.0,31.0,45.2,17.0,15.0,4.0,11.0,9,32,24.0,1.0,27.0,394.0,69.0,168.0,164.0,66.0,11.0,393.0,18.0,8.0,44.4,6.0,33.3,201.0,1042.0,528.0,8.0,6.0,2.0,11.0,3.0,178.0,21.0,1,0,0,11,12,1,6,9,14,1.0,1.0,0,50.0,18.0,18.0,50.0,1
2023-11-04,15:30 (07:30),Bundesliga,Matchweek 10,Sat,Home,L,2,3,Leverkusen,2,12,7,58.3,0.17,0.29,20.8,0.0,0,0,1.7,1.7,0.15,0.3,0.3,5,3,2,40.0,0,1.8,-1.2,0,0,0,0,4.0,9.0,44.4,37.0,4.0,24.3,28.9,5.0,0.0,17.4,7.0,1.0,14.3,2.0,12.5,451.0,539.0,83.7,8544.0,3088.0,161.0,169.0,95.3,230.0,265.0,86.8,55.0,94.0,58.5,0,0.6,0.6,8.0,38.0,5.0,1.0,39.0,539.0,500.0,39.0,12.0,1.0,1.0,19,14.0,4.0,1.0,3.0,0.0,451.0,0.0,3.0,16.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,7,12.0,3.0,0.0,9.0,19.0,47.4,10.0,7.0,1.0,6.0,9,24,18.0,0.0,47.0,628.0,65.0,210.0,287.0,139.0,14.0,628.0,14.0,5.0,35.7,3.0,21.4,336.0,1984.0,1110.0,23.0,12.0,4.0,14.0,5.0,449.0,39.0,3,0,0,6,9,0,19,9,7,0.0,0.0,0,56.0,3.0,5.0,37.5,1
