Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-18,20:30 (11:30),Bundesliga,Matchweek 1,Fri,Away,L,0,8,Bayern Munich,0,5,1,20.0,0.0,0.0,20.5,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,11,8,3,36.4,0,4.9,-3.1,1,1,0,0,4.0,23.0,17.4,32.0,5.0,53.1,39.6,10.0,60.0,43.4,14.0,0.0,0.0,0.0,5.0,287.0,389.0,73.8,5092.0,1930.0,129.0,150.0,86.0,135.0,157.0,86.0,21.0,67.0,31.3,0,0.1,0.4,2.0,16.0,6.0,0.0,25.0,389.0,336.0,50.0,14.0,3.0,1.0,5,15.0,2.0,0.0,2.0,0.0,287.0,3.0,9.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11,11.0,7.0,2.0,8.0,14.0,57.1,6.0,14.0,4.0,10.0,11,31,16.0,1.0,37.0,488.0,91.0,244.0,166.0,81.0,9.0,488.0,17.0,9.0,52.9,8.0,47.1,264.0,1172.0,540.0,9.0,6.0,0.0,7.0,6.0,286.0,25.0,2,0,0,12,11,3,5,11,11,0.0,1.0,0,50.0,6.0,8.0,42.9,1
2020-09-26,18:30 (09:30),Bundesliga,Matchweek 2,Sat,Home,L,1,3,Werder Bremen,1,18,4,22.2,0.06,0.25,18.9,0.0,0,0,1.6,1.6,0.11,-0.6,-0.6,7,3,4,71.4,0,2.4,-0.6,1,1,0,0,3.0,9.0,33.3,32.0,6.0,21.9,27.0,7.0,28.6,31.7,14.0,0.0,0.0,4.0,20.0,420.0,564.0,74.5,7258.0,2916.0,192.0,227.0,84.6,156.0,194.0,80.4,50.0,86.0,58.1,0,1.5,0.7,11.0,25.0,5.0,3.0,32.0,564.0,497.0,65.0,16.0,0.0,7.0,24,30.0,8.0,4.0,3.0,0.0,420.0,2.0,16.0,30.0,15.0,7.0,1.0,6.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,7,3.0,5.0,2.0,3.0,9.0,33.3,6.0,14.0,4.0,10.0,8,18,18.0,0.0,65.0,690.0,58.0,245.0,323.0,129.0,16.0,690.0,15.0,9.0,60.0,6.0,40.0,384.0,1647.0,751.0,13.0,13.0,2.0,20.0,15.0,418.0,32.0,7,1,1,20,13,2,24,8,7,0.0,1.0,0,50.0,25.0,22.0,53.2,1
2020-10-03,18:30 (09:30),Bundesliga,Matchweek 3,Sat,Away,L,0,4,RB Leipzig,0,5,1,20.0,0.0,0.0,23.7,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,7,4,4,57.1,0,3.4,0.4,1,1,0,0,7.0,18.0,38.9,31.0,5.0,38.7,34.1,12.0,50.0,35.8,17.0,0.0,0.0,0.0,6.5,249.0,336.0,74.1,4445.0,1730.0,105.0,131.0,80.2,113.0,129.0,87.6,24.0,59.0,40.7,0,0.1,0.0,2.0,4.0,0.0,0.0,12.0,336.0,282.0,53.0,17.0,0.0,1.0,2,19.0,1.0,0.0,1.0,0.0,249.0,1.0,5.0,7.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9,6.0,7.0,0.0,3.0,16.0,18.8,13.0,14.0,4.0,10.0,14,27,20.0,0.0,33.0,445.0,82.0,211.0,223.0,17.0,1.0,445.0,16.0,9.0,56.3,7.0,43.8,187.0,1003.0,354.0,4.0,3.0,1.0,15.0,12.0,247.0,12.0,3,0,0,10,14,1,2,14,9,0.0,1.0,1,38.0,11.0,18.0,37.9,1
2020-10-18,18:00 (09:00),Bundesliga,Matchweek 4,Sun,Home,D,1,1,Union Berlin,1,8,4,50.0,0.13,0.25,18.7,0.0,0,0,0.4,0.4,0.04,0.6,0.6,6,1,5,83.3,0,1.6,0.6,0,0,0,0,5.0,13.0,38.5,28.0,6.0,21.4,28.1,11.0,63.6,47.7,14.0,0.0,0.0,0.0,,420.0,532.0,78.9,7546.0,2421.0,167.0,193.0,86.5,194.0,220.0,88.2,39.0,73.0,53.4,1,0.3,0.3,7.0,23.0,5.0,1.0,25.0,532.0,478.0,52.0,15.0,0.0,5.0,12,19.0,5.0,1.0,4.0,0.0,420.0,2.0,10.0,15.0,8.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,7,5.0,4.0,1.0,6.0,15.0,40.0,9.0,12.0,0.0,12.0,16,26,12.0,0.0,53.0,637.0,60.0,182.0,349.0,109.0,13.0,637.0,9.0,2.0,22.2,7.0,77.8,278.0,1523.0,790.0,10.0,7.0,2.0,20.0,3.0,416.0,25.0,3,0,0,7,12,2,12,16,7,0.0,0.0,0,38.0,21.0,14.0,60.0,1
2020-10-24,18:30 (09:30),Bundesliga,Matchweek 5,Sat,Away,L,0,3,Dortmund,0,3,0,0.0,0.0,,13.8,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2,7,3,4,57.1,0,1.6,-1.4,0,0,0,0,4.0,14.0,28.6,20.0,4.0,50.0,37.8,6.0,66.7,52.7,10.0,1.0,10.0,0.0,3.0,214.0,306.0,69.9,3688.0,1567.0,104.0,128.0,81.3,82.0,101.0,81.2,21.0,51.0,41.2,0,0.2,0.2,3.0,10.0,2.0,0.0,14.0,306.0,260.0,43.0,5.0,0.0,2.0,2,26.0,2.0,1.0,1.0,0.0,214.0,3.0,9.0,6.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9,12.0,11.0,1.0,17.0,35.0,48.6,18.0,11.0,5.0,6.0,14,38,17.0,1.0,26.0,428.0,78.0,212.0,170.0,49.0,3.0,428.0,10.0,2.0,20.0,8.0,80.0,226.0,868.0,361.0,5.0,6.0,1.0,18.0,7.0,214.0,14.0,1,0,0,14,5,3,2,14,9,0.0,0.0,0,48.0,7.0,10.0,41.2,1
2020-10-30,20:30 (12:30),Bundesliga,Matchweek 6,Fri,Home,D,1,1,Stuttgart,1,9,2,22.2,0.11,0.5,17.4,0.0,0,0,0.6,0.6,0.07,0.4,0.4,8,1,7,100.0,0,1.4,0.4,1,1,0,0,7.0,7.0,100.0,30.0,10.0,16.7,27.6,8.0,25.0,33.1,12.0,1.0,8.3,1.0,12.0,366.0,449.0,81.5,7104.0,2851.0,145.0,166.0,87.3,169.0,196.0,86.2,47.0,67.0,70.1,1,0.5,0.4,7.0,12.0,3.0,1.0,20.0,449.0,399.0,46.0,15.0,0.0,8.0,11,18.0,3.0,2.0,1.0,0.0,366.0,4.0,8.0,17.0,10.0,4.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,26.0,13,16.0,8.0,2.0,6.0,27.0,22.2,21.0,20.0,7.0,13.0,12,38,21.0,0.0,46.0,599.0,90.0,302.0,223.0,84.0,11.0,599.0,26.0,17.0,65.4,9.0,34.6,354.0,1860.0,1034.0,13.0,16.0,1.0,29.0,11.0,364.0,20.0,2,0,0,11,14,4,11,12,13,0.0,1.0,0,59.0,16.0,10.0,61.5,1
2020-11-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Away,D,2,2,Mainz 05,1,21,3,14.3,0.05,0.33,15.4,2.0,0,0,1.9,1.9,0.1,-0.9,-0.9,7,2,5,100.0,0,4.0,2.0,2,2,0,0,2.0,5.0,40.0,30.0,8.0,10.0,27.5,6.0,33.3,31.2,8.0,2.0,25.0,0.0,3.5,495.0,613.0,80.8,8806.0,3328.0,222.0,253.0,87.7,200.0,227.0,88.1,57.0,90.0,63.3,0,1.4,2.1,16.0,41.0,10.0,3.0,53.0,613.0,546.0,63.0,17.0,0.0,8.0,21,28.0,9.0,0.0,8.0,0.0,495.0,4.0,14.0,38.0,27.0,3.0,1.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,10,5.0,8.0,1.0,8.0,16.0,50.0,8.0,16.0,3.0,13.0,9,23,8.0,0.0,67.0,726.0,50.0,216.0,351.0,162.0,40.0,726.0,26.0,12.0,46.2,14.0,53.8,458.0,2185.0,1006.0,13.0,13.0,5.0,12.0,9.0,493.0,52.0,1,0,0,13,16,4,21,9,10,0.0,2.0,0,57.0,20.0,21.0,48.8,1
2020-11-21,15:30 (06:30),Bundesliga,Matchweek 8,Sat,Home,L,0,2,Wolfsburg,0,13,7,53.8,0.0,0.0,15.8,0.0,0,0,1.1,1.1,0.08,-1.1,-1.1,7,2,5,71.4,0,2.7,0.7,0,0,0,0,2.0,11.0,18.2,29.0,8.0,31.0,28.7,9.0,22.2,27.0,10.0,1.0,10.0,1.0,11.0,310.0,434.0,71.4,6161.0,2349.0,108.0,139.0,77.7,152.0,172.0,88.4,44.0,89.0,49.4,0,0.9,0.5,8.0,24.0,9.0,4.0,26.0,434.0,375.0,53.0,13.0,0.0,5.0,26,22.0,6.0,3.0,3.0,0.0,310.0,6.0,12.0,26.0,17.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,13,14.0,10.0,0.0,8.0,22.0,36.4,14.0,10.0,4.0,6.0,11,35,11.0,0.0,43.0,543.0,74.0,193.0,240.0,116.0,22.0,543.0,19.0,13.0,68.4,6.0,31.6,327.0,1672.0,847.0,19.0,10.0,4.0,17.0,9.0,308.0,26.0,0,0,0,11,9,6,26,11,13,0.0,0.0,0,47.0,12.0,15.0,44.4,1
2020-11-28,18:30 (09:30),Bundesliga,Matchweek 9,Sat,Away,L,1,4,Gladbach,1,13,2,15.4,0.08,0.5,20.4,1.0,0,0,0.9,0.9,0.07,0.1,0.1,9,4,5,55.6,0,2.3,-1.7,0,0,0,0,4.0,10.0,40.0,25.0,4.0,32.0,29.5,7.0,28.6,31.0,11.0,1.0,9.1,2.0,16.6,349.0,456.0,76.5,6175.0,2415.0,165.0,192.0,85.9,144.0,173.0,83.2,37.0,63.0,58.7,1,0.7,0.6,9.0,28.0,10.0,3.0,34.0,456.0,410.0,45.0,8.0,2.0,2.0,23,21.0,4.0,3.0,1.0,0.0,349.0,1.0,16.0,20.0,15.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,5,2.0,6.0,3.0,2.0,16.0,12.5,14.0,11.0,2.0,9.0,9,20,15.0,1.0,44.0,556.0,61.0,164.0,261.0,141.0,17.0,556.0,22.0,11.0,50.0,11.0,50.0,340.0,1504.0,702.0,13.0,15.0,1.0,19.0,10.0,349.0,34.0,3,0,0,14,8,1,23,9,5,0.0,0.0,0,60.0,14.0,11.0,56.0,1
2020-12-06,18:00 (09:00),Bundesliga,Matchweek 10,Sun,Home,L,0,3,Leverkusen,0,14,3,21.4,0.0,0.0,21.8,0.0,0,1,1.4,0.6,0.04,-1.4,-0.6,9,3,7,66.7,0,2.5,0.5,0,0,0,0,8.0,13.0,61.5,14.0,1.0,35.7,36.1,15.0,53.3,37.4,16.0,0.0,0.0,0.0,6.0,241.0,350.0,68.9,4667.0,2427.0,108.0,130.0,83.1,99.0,127.0,78.0,32.0,69.0,46.4,0,0.5,0.7,9.0,25.0,3.0,0.0,32.0,350.0,291.0,58.0,11.0,0.0,2.0,11,26.0,2.0,0.0,2.0,0.0,241.0,1.0,8.0,23.0,14.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12,7.0,8.0,0.0,3.0,15.0,20.0,12.0,16.0,6.0,10.0,15,30,16.0,0.0,37.0,470.0,68.0,177.0,210.0,86.0,14.0,469.0,10.0,5.0,50.0,5.0,50.0,231.0,1249.0,565.0,13.0,8.0,4.0,14.0,13.0,240.0,32.0,2,0,0,16,11,1,11,15,12,1.0,0.0,1,46.0,13.0,17.0,43.3,1
