Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2020-09-20,15:30 (06:30),Bundesliga,Matchweek 1,Sun,Away,L,1,3,RB Leipzig,1,9,1,11.1,0.11,1.0,15.3,1.0,0,0,1.2,1.2,0.14,-0.2,-0.2,9,3,6,77.8,0,3.0,0.0,1,1,0,0,0.0,4.0,0.0,23.0,8.0,13.0,28.9,11.0,9.1,24.8,14.0,0.0,0.0,0.0,13.0,220.0,309.0,71.2,3924.0,1556.0,93.0,119.0,78.2,97.0,121.0,80.2,23.0,45.0,51.1,1,1.0,0.9,5.0,5.0,4.0,2.0,15.0,309.0,266.0,40.0,5.0,2.0,2.0,15,15.0,5.0,2.0,3.0,0.0,220.0,3.0,8.0,14.0,7.0,2.0,0.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,6,5.0,7.0,2.0,4.0,13.0,30.8,9.0,17.0,4.0,13.0,19,33,26.0,1.0,28.0,426.0,83.0,189.0,177.0,66.0,11.0,426.0,21.0,7.0,33.3,14.0,66.7,190.0,1331.0,786.0,16.0,11.0,3.0,15.0,6.0,220.0,15.0,2,0,0,11,5,3,15,19,6,0.0,1.0,0,52.0,8.0,11.0,42.1,1
2020-09-26,15:30 (06:30),Bundesliga,Matchweek 2,Sat,Home,L,1,4,Stuttgart,1,12,2,16.7,0.08,0.5,19.6,2.0,0,0,1.3,1.3,0.11,-0.3,-0.3,7,4,3,42.9,0,3.9,-0.1,0,0,0,0,0.0,7.0,0.0,39.0,5.0,15.4,27.5,8.0,12.5,22.4,18.0,0.0,0.0,3.0,17.7,361.0,469.0,77.0,6491.0,2422.0,157.0,178.0,88.2,158.0,188.0,84.0,41.0,84.0,48.8,1,1.2,1.0,9.0,20.0,6.0,1.0,30.0,469.0,417.0,51.0,15.0,0.0,4.0,18,20.0,3.0,1.0,2.0,0.0,361.0,1.0,9.0,23.0,12.0,4.0,2.0,1.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,12,9.0,9.0,3.0,12.0,25.0,48.0,13.0,10.0,2.0,8.0,21,42,21.0,0.0,49.0,582.0,75.0,240.0,237.0,109.0,14.0,582.0,21.0,11.0,52.4,10.0,47.6,266.0,1262.0,624.0,10.0,5.0,3.0,16.0,7.0,359.0,30.0,2,1,1,9,16,1,18,21,12,0.0,0.0,0,63.0,7.0,11.0,38.9,1
2020-10-02,20:30 (11:30),Bundesliga,Matchweek 3,Fri,Away,L,0,4,Union Berlin,0,5,0,0.0,0.0,,20.1,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,7,4,3,42.9,0,2.4,-1.6,0,0,0,0,2.0,8.0,25.0,25.0,7.0,24.0,31.0,5.0,40.0,40.4,13.0,2.0,15.4,2.0,14.8,402.0,529.0,76.0,6948.0,2544.0,189.0,219.0,86.3,179.0,225.0,79.6,33.0,70.0,47.1,0,0.3,0.3,4.0,24.0,4.0,1.0,37.0,529.0,472.0,56.0,15.0,0.0,5.0,14,29.0,2.0,1.0,1.0,0.0,402.0,1.0,8.0,6.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9,6.0,10.0,1.0,9.0,14.0,64.3,5.0,9.0,1.0,8.0,15,32,16.0,0.0,50.0,631.0,48.0,179.0,353.0,101.0,12.0,631.0,18.0,12.0,66.7,6.0,33.3,360.0,1651.0,860.0,13.0,4.0,4.0,22.0,16.0,401.0,37.0,4,0,0,11,13,1,14,15,9,0.0,0.0,0,57.0,18.0,18.0,50.0,1
2020-10-17,15:30 (06:30),Bundesliga,Matchweek 4,Sat,Home,L,0,1,Leverkusen,0,6,0,0.0,0.0,,21.9,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,5,1,4,80.0,0,0.5,-0.5,0,0,0,0,8.0,18.0,44.4,30.0,6.0,43.3,34.5,8.0,62.5,44.9,12.0,2.0,16.7,2.0,16.8,310.0,426.0,72.8,5889.0,2560.0,134.0,154.0,87.0,134.0,165.0,81.2,37.0,83.0,44.6,0,0.2,0.3,3.0,33.0,7.0,2.0,37.0,426.0,373.0,48.0,9.0,0.0,3.0,20,23.0,6.0,3.0,3.0,0.0,310.0,5.0,8.0,11.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,18,8.0,14.0,6.0,13.0,26.0,50.0,13.0,6.0,1.0,5.0,22,50,15.0,0.0,39.0,546.0,56.0,183.0,239.0,129.0,12.0,546.0,17.0,5.0,29.4,12.0,70.6,244.0,1443.0,842.0,15.0,6.0,2.0,17.0,8.0,309.0,37.0,3,0,0,12,6,5,20,22,18,0.0,0.0,0,55.0,13.0,18.0,41.9,1
2020-10-24,15:30 (06:30),Bundesliga,Matchweek 5,Sat,Home,L,2,3,Gladbach,2,15,7,46.7,0.13,0.29,17.5,0.0,0,0,1.9,1.9,0.13,0.1,0.1,11,3,8,81.8,0,4.9,1.9,1,1,0,0,5.0,24.0,20.8,43.0,7.0,39.5,35.4,7.0,100.0,75.3,16.0,0.0,0.0,3.0,21.8,316.0,446.0,70.9,5998.0,2374.0,135.0,174.0,77.6,140.0,179.0,78.2,41.0,81.0,50.6,1,1.2,1.1,12.0,33.0,9.0,3.0,38.0,446.0,396.0,49.0,13.0,1.0,0.0,14,22.0,3.0,1.0,1.0,0.0,316.0,1.0,7.0,29.0,26.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,20.0,13,10.0,10.0,0.0,5.0,19.0,26.3,14.0,12.0,3.0,9.0,12,32,14.0,1.0,40.0,566.0,74.0,185.0,254.0,132.0,27.0,566.0,17.0,8.0,47.1,9.0,52.9,304.0,1308.0,585.0,15.0,8.0,6.0,14.0,9.0,313.0,38.0,5,0,0,18,11,1,14,12,13,0.0,1.0,0,53.0,15.0,22.0,40.5,1
2020-10-31,15:30 (07:30),Bundesliga,Matchweek 6,Sat,Away,L,1,3,Augsburg,1,9,4,44.4,0.11,0.25,17.4,0.0,0,0,1.0,1.0,0.12,0.0,0.0,6,3,3,50.0,0,2.6,-0.4,0,0,0,0,2.0,5.0,40.0,30.0,8.0,6.7,20.9,9.0,33.3,32.9,10.0,0.0,0.0,5.0,24.7,428.0,538.0,79.6,8233.0,2645.0,160.0,185.0,86.5,197.0,231.0,85.3,58.0,94.0,61.7,1,0.8,0.6,6.0,18.0,8.0,3.0,26.0,538.0,482.0,53.0,14.0,0.0,3.0,14,25.0,1.0,0.0,1.0,0.0,428.0,3.0,6.0,13.0,9.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,15,8.0,14.0,2.0,5.0,12.0,41.7,7.0,12.0,3.0,9.0,13,37,11.0,0.0,50.0,635.0,51.0,226.0,312.0,99.0,13.0,635.0,10.0,8.0,80.0,2.0,20.0,399.0,1857.0,979.0,14.0,11.0,3.0,11.0,6.0,425.0,26.0,1,0,0,10,11,3,14,13,15,0.0,0.0,0,50.0,11.0,13.0,45.8,1
2020-11-07,15:30 (06:30),Bundesliga,Matchweek 7,Sat,Home,D,2,2,Schalke 04,2,11,5,45.5,0.0,0.0,20.1,1.0,2,2,3.7,2.2,0.2,-1.7,-2.2,3,2,2,33.3,0,1.2,0.2,0,0,0,0,3.0,18.0,16.7,23.0,8.0,39.1,35.0,9.0,100.0,69.7,17.0,1.0,5.9,1.0,10.7,204.0,307.0,66.4,3600.0,1980.0,106.0,121.0,87.6,69.0,97.0,71.1,25.0,65.0,38.5,0,1.6,1.2,8.0,14.0,8.0,0.0,23.0,307.0,255.0,51.0,14.0,4.0,0.0,10,21.0,4.0,3.0,1.0,0.0,204.0,1.0,13.0,20.0,13.0,2.0,0.0,1.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,23.0,10,11.0,8.0,4.0,14.0,26.0,53.8,12.0,18.0,6.0,12.0,14,37,21.0,0.0,33.0,448.0,65.0,187.0,169.0,99.0,18.0,446.0,16.0,8.0,50.0,8.0,50.0,228.0,1221.0,613.0,13.0,9.0,1.0,15.0,6.0,202.0,23.0,1,0,0,18,12,1,10,14,10,2.0,0.0,1,56.0,21.0,20.0,51.2,1
2020-11-22,15:30 (06:30),Bundesliga,Matchweek 8,Sun,Away,W,3,1,Freiburg,3,20,8,40.0,0.15,0.38,19.2,0.0,0,0,2.9,2.9,0.15,0.1,0.1,6,1,5,83.3,0,0.9,-0.1,0,0,0,0,7.0,24.0,29.2,25.0,8.0,56.0,43.5,11.0,90.9,62.8,30.0,3.0,10.0,0.0,6.3,212.0,314.0,67.5,3924.0,2119.0,105.0,128.0,82.0,74.0,97.0,76.3,28.0,62.0,45.2,2,2.5,1.6,17.0,23.0,8.0,3.0,28.0,314.0,269.0,44.0,7.0,3.0,1.0,11,20.0,4.0,3.0,1.0,0.0,212.0,1.0,12.0,34.0,24.0,3.0,3.0,2.0,1.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,2,6.0,1.0,1.0,4.0,10.0,40.0,6.0,18.0,6.0,12.0,22,30,34.0,0.0,29.0,442.0,72.0,178.0,171.0,100.0,17.0,442.0,10.0,6.0,60.0,4.0,40.0,232.0,1187.0,671.0,15.0,14.0,3.0,5.0,6.0,210.0,28.0,1,0,0,13,6,1,11,22,2,0.0,0.0,0,46.0,20.0,14.0,58.8,1
2020-11-29,18:00 (09:00),Bundesliga,Matchweek 9,Sun,Home,D,1,1,Hoffenheim,1,9,3,33.3,0.11,0.33,12.3,0.0,0,0,1.6,1.6,0.18,-0.6,-0.6,4,1,3,75.0,0,0.8,-0.2,0,0,0,0,2.0,13.0,15.4,24.0,5.0,37.5,35.4,9.0,44.4,40.4,19.0,0.0,0.0,1.0,22.0,268.0,398.0,67.3,5275.0,2283.0,95.0,118.0,80.5,118.0,165.0,71.5,43.0,82.0,52.4,1,1.5,1.2,8.0,23.0,5.0,1.0,37.0,398.0,345.0,51.0,10.0,0.0,5.0,29,19.0,11.0,4.0,6.0,0.0,268.0,2.0,12.0,14.0,12.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,11,12.0,3.0,4.0,11.0,14.0,78.6,3.0,13.0,2.0,11.0,18,37,26.0,0.0,36.0,535.0,78.0,231.0,200.0,107.0,23.0,535.0,13.0,7.0,53.8,6.0,46.2,183.0,1137.0,461.0,11.0,7.0,5.0,22.0,13.0,263.0,35.0,0,0,0,16,9,2,29,18,11,0.0,0.0,0,62.0,20.0,16.0,55.6,1
2020-12-05,15:30 (06:30),Bundesliga,Matchweek 10,Sat,Away,L,1,2,Arminia,1,15,5,33.3,0.07,0.2,15.0,0.0,0,0,2.8,2.8,0.19,-1.8,-1.8,5,2,3,60.0,0,1.0,-1.0,0,0,0,0,3.0,13.0,23.1,28.0,12.0,28.6,30.1,8.0,62.5,51.3,15.0,0.0,0.0,3.0,25.0,411.0,566.0,72.6,7961.0,2962.0,152.0,189.0,80.4,208.0,253.0,82.2,47.0,91.0,51.6,0,1.2,0.8,11.0,46.0,8.0,1.0,60.0,566.0,496.0,68.0,17.0,1.0,7.0,22,37.0,3.0,2.0,1.0,0.0,411.0,2.0,16.0,26.0,19.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,5,5.0,4.0,2.0,2.0,6.0,33.3,4.0,7.0,2.0,5.0,16,27,14.0,0.0,52.0,682.0,51.0,181.0,363.0,141.0,19.0,682.0,20.0,11.0,55.0,9.0,45.0,335.0,2076.0,1119.0,18.0,8.0,4.0,18.0,10.0,408.0,59.0,2,0,0,17,16,2,22,16,5,0.0,0.0,0,58.0,25.0,31.0,44.6,1
