For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,For Cádiz_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,For Cádiz_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Cádiz_Date,For Cádiz_Time,For Cádiz_Comp,For Cádiz_Round,For Cádiz_Day,For Cádiz_Venue,For Cádiz_Result,For Cádiz_GF,For Cádiz_GA,For Cádiz_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2022-08-14,17:30 (08:30),La Liga,Matchweek 1,Sun,Home,L,0.0,1.0,Real Sociedad,0,7,1,14.3,0.0,0.0,19.8,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Match Report,2022-08-14,17:30 (08:30),La Liga,Matchweek 1,Sun,Home,L,0.0,1.0,Real Sociedad,7,1,6,85.7,0,2.2,1.2,0,0,0,0,3.0,11.0,27.3,16.0,3.0,56.3,43.0,4.0,50.0,48.5,13.0,2.0,15.4,1.0,8.6,Match Report,2022-08-14,17:30 (08:30),La Liga,Matchweek 1,Sun,Home,L,0.0,1.0,Real Sociedad,237.0,343.0,69.1,4986.0,2064.0,74.0,92.0,80.4,101.0,128.0,78.9,51.0,95.0,53.7,0,0.1,0.3,3.0,23.0,2.0,1.0,22.0,Match Report,2022-08-14,17:30 (08:30),La Liga,Matchweek 1,Sun,Home,L,0.0,1.0,Real Sociedad,343.0,286.0,53.0,20.0,0.0,4.0,21,24.0,3.0,2.0,1.0,0.0,237.0,4.0,9.0,Match Report,2022-08-14,17:30 (08:30),La Liga,Matchweek 1,Sun,Home,L,0.0,1.0,Real Sociedad,11.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-08-14,17:30 (08:30),La Liga,Matchweek 1,Sun,Home,L,0.0,1.0,Real Sociedad,20.0,13,11.0,5.0,4.0,10.0,18.0,55.6,8.0,19.0,5.0,14.0,8,28,20.0,0.0,Match Report,2022-08-14,17:30 (08:30),La Liga,Matchweek 1,Sun,Home,L,0.0,1.0,Real Sociedad,41.0,463.0,67.0,189.0,177.0,102.0,12.0,463.0,21.0,10.0,47.6,10.0,47.6,153.0,993.0,478.0,13.0,8.0,2.0,16.0,15.0,235.0,22.0,Match Report,2022-08-14,17:30 (08:30),La Liga,Matchweek 1,Sun,Home,L,0.0,1.0,Real Sociedad,4,0,0,9,19,4,21,8,13,0.0,0.0,0,64.0,19.0,20.0,48.7,Match Report
2022-08-20,17:30 (08:30),La Liga,Matchweek 2,Sat,Away,L,0.0,2.0,Osasuna,0,9,2,22.2,0.0,0.0,19.4,1.0,0,0,1.0,1.0,0.11,-1.0,-1.0,Match Report,2022-08-20,17:30 (08:30),La Liga,Matchweek 2,Sat,Away,L,0.0,2.0,Osasuna,3,2,1,100.0,0,2.2,0.2,2,2,0,0,5.0,18.0,27.8,26.0,5.0,42.3,37.9,11.0,63.6,50.5,16.0,0.0,0.0,0.0,18.0,Match Report,2022-08-20,17:30 (08:30),La Liga,Matchweek 2,Sat,Away,L,0.0,2.0,Osasuna,265.0,373.0,71.0,5339.0,2323.0,104.0,132.0,78.8,112.0,138.0,81.2,45.0,91.0,49.5,0,0.3,0.2,5.0,22.0,3.0,1.0,22.0,Match Report,2022-08-20,17:30 (08:30),La Liga,Matchweek 2,Sat,Away,L,0.0,2.0,Osasuna,373.0,324.0,48.0,9.0,1.0,2.0,9,23.0,2.0,1.0,0.0,0.0,265.0,1.0,6.0,Match Report,2022-08-20,17:30 (08:30),La Liga,Matchweek 2,Sat,Away,L,0.0,2.0,Osasuna,16.0,10.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-08-20,17:30 (08:30),La Liga,Matchweek 2,Sat,Away,L,0.0,2.0,Osasuna,15.0,7,10.0,5.0,0.0,10.0,15.0,66.7,5.0,11.0,4.0,7.0,7,22,30.0,0.0,Match Report,2022-08-20,17:30 (08:30),La Liga,Matchweek 2,Sat,Away,L,0.0,2.0,Osasuna,45.0,498.0,76.0,197.0,238.0,69.0,9.0,498.0,15.0,6.0,40.0,6.0,40.0,222.0,1090.0,570.0,12.0,5.0,3.0,17.0,7.0,260.0,22.0,Match Report,2022-08-20,17:30 (08:30),La Liga,Matchweek 2,Sat,Away,L,0.0,2.0,Osasuna,5,1,1,13,9,1,9,7,7,0.0,2.0,0,43.0,16.0,27.0,37.2,Match Report
2022-08-29,20:00 (11:00),La Liga,Matchweek 3,Mon,Home,L,0.0,4.0,Athletic Club,0,9,3,33.3,0.0,0.0,27.6,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report,2022-08-29,20:00 (11:00),La Liga,Matchweek 3,Mon,Home,L,0.0,4.0,Athletic Club,8,4,3,50.0,0,2.9,-1.1,1,0,1,0,15.0,23.0,65.2,27.0,6.0,51.9,38.9,10.0,90.0,68.2,16.0,1.0,6.3,0.0,10.2,Match Report,2022-08-29,20:00 (11:00),La Liga,Matchweek 3,Mon,Home,L,0.0,4.0,Athletic Club,283.0,378.0,74.9,5590.0,2566.0,115.0,143.0,80.4,111.0,137.0,81.0,43.0,75.0,57.3,0,0.3,0.2,7.0,21.0,3.0,1.0,20.0,Match Report,2022-08-29,20:00 (11:00),La Liga,Matchweek 3,Mon,Home,L,0.0,4.0,Athletic Club,378.0,331.0,47.0,7.0,0.0,5.0,13,25.0,0.0,0.0,0.0,0.0,283.0,0.0,10.0,Match Report,2022-08-29,20:00 (11:00),La Liga,Matchweek 3,Mon,Home,L,0.0,4.0,Athletic Club,12.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-08-29,20:00 (11:00),La Liga,Matchweek 3,Mon,Home,L,0.0,4.0,Athletic Club,12.0,7,7.0,4.0,1.0,5.0,19.0,26.3,14.0,12.0,2.0,10.0,9,21,14.0,2.0,Match Report,2022-08-29,20:00 (11:00),La Liga,Matchweek 3,Mon,Home,L,0.0,4.0,Athletic Club,38.0,488.0,65.0,193.0,201.0,95.0,6.0,488.0,16.0,3.0,18.8,11.0,68.8,220.0,1044.0,499.0,8.0,10.0,2.0,23.0,4.0,277.0,20.0,Match Report,2022-08-29,20:00 (11:00),La Liga,Matchweek 3,Mon,Home,L,0.0,4.0,Athletic Club,2,0,0,18,4,0,13,9,7,0.0,1.0,0,46.0,19.0,11.0,63.3,Match Report
2022-09-02,21:00 (12:00),La Liga,Matchweek 4,Fri,Away,L,0.0,3.0,Celta Vigo,0,7,0,0.0,0.0,,19.0,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report,2022-09-02,21:00 (12:00),La Liga,Matchweek 4,Fri,Away,L,0.0,3.0,Celta Vigo,5,3,2,40.0,0,1.6,-1.4,0,0,0,0,2.0,13.0,15.4,13.0,0.0,76.9,52.0,4.0,75.0,62.0,12.0,1.0,8.3,0.0,2.5,Match Report,2022-09-02,21:00 (12:00),La Liga,Matchweek 4,Fri,Away,L,0.0,3.0,Celta Vigo,327.0,420.0,77.9,5856.0,2037.0,150.0,168.0,89.3,121.0,143.0,84.6,46.0,79.0,58.2,0,0.3,0.4,7.0,26.0,4.0,3.0,35.0,Match Report,2022-09-02,21:00 (12:00),La Liga,Matchweek 4,Fri,Away,L,0.0,3.0,Celta Vigo,420.0,367.0,52.0,17.0,0.0,4.0,12,25.0,2.0,1.0,1.0,0.0,327.0,1.0,7.0,Match Report,2022-09-02,21:00 (12:00),La Liga,Matchweek 4,Fri,Away,L,0.0,3.0,Celta Vigo,13.0,9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-09-02,21:00 (12:00),La Liga,Matchweek 4,Fri,Away,L,0.0,3.0,Celta Vigo,18.0,13,10.0,5.0,3.0,9.0,17.0,52.9,8.0,5.0,1.0,4.0,9,27,10.0,0.0,Match Report,2022-09-02,21:00 (12:00),La Liga,Matchweek 4,Fri,Away,L,0.0,3.0,Celta Vigo,42.0,516.0,31.0,110.0,279.0,130.0,11.0,516.0,13.0,4.0,30.8,9.0,69.2,265.0,1279.0,524.0,10.0,9.0,2.0,23.0,13.0,322.0,35.0,Match Report,2022-09-02,21:00 (12:00),La Liga,Matchweek 4,Fri,Away,L,0.0,3.0,Celta Vigo,2,0,0,23,13,1,12,9,13,0.0,0.0,0,52.0,16.0,10.0,61.5,Match Report
2022-09-10,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,L,0.0,4.0,Barcelona,0,6,0,0.0,0.0,,21.2,1.0,0,0,0.4,0.4,0.07,-0.4,-0.4,Match Report,2022-09-10,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,L,0.0,4.0,Barcelona,8,4,4,50.0,0,3.0,-1.0,0,0,0,0,10.0,27.0,37.0,30.0,9.0,63.3,44.3,8.0,100.0,66.1,7.0,0.0,0.0,2.0,10.3,Match Report,2022-09-10,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,L,0.0,4.0,Barcelona,161.0,263.0,61.2,2989.0,1425.0,81.0,100.0,81.0,45.0,66.0,68.2,27.0,68.0,39.7,0,0.1,0.2,2.0,16.0,1.0,1.0,13.0,Match Report,2022-09-10,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,L,0.0,4.0,Barcelona,263.0,210.0,50.0,15.0,0.0,3.0,15,17.0,5.0,3.0,1.0,0.0,161.0,3.0,7.0,Match Report,2022-09-10,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,L,0.0,4.0,Barcelona,11.0,3.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-09-10,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,L,0.0,4.0,Barcelona,17.0,12,12.0,4.0,1.0,14.0,28.0,50.0,14.0,16.0,2.0,14.0,12,29,16.0,0.0,Match Report,2022-09-10,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,L,0.0,4.0,Barcelona,30.0,373.0,71.0,161.0,113.0,104.0,10.0,373.0,13.0,4.0,30.8,4.0,30.8,188.0,1095.0,533.0,13.0,8.0,1.0,17.0,5.0,159.0,13.0,Match Report,2022-09-10,18:30 (09:30),La Liga,Matchweek 5,Sat,Home,L,0.0,4.0,Barcelona,1,0,0,12,13,3,15,12,12,0.0,0.0,0,43.0,13.0,17.0,43.3,Match Report
2022-09-16,21:00 (12:00),La Liga,Matchweek 6,Fri,Away,W,1.0,0.0,Valladolid,1,7,1,14.3,0.14,1.0,23.2,1.0,0,0,0.3,0.3,0.04,0.7,0.7,Match Report,2022-09-16,21:00 (12:00),La Liga,Matchweek 6,Fri,Away,W,1.0,0.0,Valladolid,6,0,6,100.0,1,0.6,0.6,0,0,0,0,6.0,18.0,33.3,26.0,6.0,46.2,39.8,10.0,60.0,47.3,29.0,2.0,6.9,0.0,5.0,Match Report,2022-09-16,21:00 (12:00),La Liga,Matchweek 6,Fri,Away,W,1.0,0.0,Valladolid,257.0,354.0,72.6,4764.0,1965.0,121.0,141.0,85.8,97.0,118.0,82.2,35.0,75.0,46.7,1,0.2,0.7,5.0,14.0,6.0,2.0,27.0,Match Report,2022-09-16,21:00 (12:00),La Liga,Matchweek 6,Fri,Away,W,1.0,0.0,Valladolid,354.0,308.0,44.0,13.0,1.0,3.0,16,18.0,2.0,2.0,0.0,0.0,257.0,2.0,7.0,Match Report,2022-09-16,21:00 (12:00),La Liga,Matchweek 6,Fri,Away,W,1.0,0.0,Valladolid,11.0,10.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-09-16,21:00 (12:00),La Liga,Matchweek 6,Fri,Away,W,1.0,0.0,Valladolid,18.0,11,11.0,6.0,1.0,9.0,16.0,56.3,7.0,11.0,5.0,6.0,2,20,23.0,0.0,Match Report,2022-09-16,21:00 (12:00),La Liga,Matchweek 6,Fri,Away,W,1.0,0.0,Valladolid,43.0,456.0,73.0,180.0,188.0,96.0,13.0,456.0,10.0,5.0,50.0,5.0,50.0,276.0,1467.0,743.0,17.0,12.0,1.0,16.0,16.0,254.0,27.0,Match Report,2022-09-16,21:00 (12:00),La Liga,Matchweek 6,Fri,Away,W,1.0,0.0,Valladolid,4,0,0,19,11,2,16,2,11,0.0,0.0,0,45.0,14.0,9.0,60.9,Match Report
2022-10-01,14:00 (05:00),La Liga,Matchweek 7,Sat,Home,D,0.0,0.0,Villarreal,0,10,2,20.0,0.0,0.0,18.2,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report,2022-10-01,14:00 (05:00),La Liga,Matchweek 7,Sat,Home,D,0.0,0.0,Villarreal,6,0,6,100.0,1,0.7,0.7,0,0,0,0,6.0,16.0,37.5,24.0,10.0,41.7,37.9,6.0,100.0,66.8,18.0,0.0,0.0,0.0,5.0,Match Report,2022-10-01,14:00 (05:00),La Liga,Matchweek 7,Sat,Home,D,0.0,0.0,Villarreal,260.0,348.0,74.7,4587.0,1880.0,107.0,123.0,87.0,90.0,106.0,84.9,35.0,72.0,48.6,0,0.3,0.2,5.0,20.0,5.0,5.0,19.0,Match Report,2022-10-01,14:00 (05:00),La Liga,Matchweek 7,Sat,Home,D,0.0,0.0,Villarreal,348.0,311.0,34.0,8.0,0.0,1.0,22,13.0,6.0,4.0,1.0,0.0,260.0,3.0,9.0,Match Report,2022-10-01,14:00 (05:00),La Liga,Matchweek 7,Sat,Home,D,0.0,0.0,Villarreal,18.0,14.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-10-01,14:00 (05:00),La Liga,Matchweek 7,Sat,Home,D,0.0,0.0,Villarreal,20.0,10,7.0,8.0,5.0,6.0,16.0,37.5,10.0,18.0,3.0,15.0,11,31,19.0,1.0,Match Report,2022-10-01,14:00 (05:00),La Liga,Matchweek 7,Sat,Home,D,0.0,0.0,Villarreal,40.0,474.0,64.0,185.0,177.0,119.0,15.0,474.0,14.0,3.0,21.4,10.0,71.4,196.0,1193.0,712.0,21.0,9.0,4.0,18.0,6.0,258.0,19.0,Match Report,2022-10-01,14:00 (05:00),La Liga,Matchweek 7,Sat,Home,D,0.0,0.0,Villarreal,2,1,0,13,8,3,22,11,10,0.0,0.0,0,51.0,14.0,11.0,56.0,Match Report
2022-10-09,16:15 (07:15),La Liga,Matchweek 8,Sun,Home,D,2.0,2.0,Espanyol,2,8,3,37.5,0.25,0.67,13.1,1.0,0,0,1.3,1.3,0.16,0.7,0.7,Match Report,2022-10-09,16:15 (07:15),La Liga,Matchweek 8,Sun,Home,D,2.0,2.0,Espanyol,6,2,4,66.7,0,1.5,-0.5,0,0,0,0,4.0,12.0,33.3,19.0,7.0,36.8,38.4,6.0,83.3,67.5,9.0,1.0,11.1,1.0,13.5,Match Report,2022-10-09,16:15 (07:15),La Liga,Matchweek 8,Sun,Home,D,2.0,2.0,Espanyol,305.0,445.0,68.5,6027.0,2293.0,113.0,141.0,80.1,134.0,173.0,77.5,46.0,97.0,47.4,1,0.4,0.7,6.0,32.0,6.0,4.0,35.0,Match Report,2022-10-09,16:15 (07:15),La Liga,Matchweek 8,Sun,Home,D,2.0,2.0,Espanyol,445.0,381.0,59.0,11.0,1.0,5.0,30,31.0,8.0,3.0,3.0,0.0,305.0,5.0,12.0,Match Report,2022-10-09,16:15 (07:15),La Liga,Matchweek 8,Sun,Home,D,2.0,2.0,Espanyol,16.0,13.0,2.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-10-09,16:15 (07:15),La Liga,Matchweek 8,Sun,Home,D,2.0,2.0,Espanyol,10.0,6,7.0,3.0,0.0,4.0,10.0,40.0,6.0,3.0,0.0,3.0,3,13,21.0,0.0,Match Report,2022-10-09,16:15 (07:15),La Liga,Matchweek 8,Sun,Home,D,2.0,2.0,Espanyol,54.0,529.0,49.0,161.0,208.0,164.0,22.0,529.0,9.0,4.0,44.4,4.0,44.4,285.0,1639.0,826.0,13.0,10.0,3.0,8.0,16.0,301.0,34.0,Match Report,2022-10-09,16:15 (07:15),La Liga,Matchweek 8,Sun,Home,D,2.0,2.0,Espanyol,4,0,0,13,12,5,30,3,6,0.0,0.0,0,56.0,27.0,20.0,57.4,Match Report
2022-10-15,14:00 (05:00),La Liga,Matchweek 9,Sat,Away,D,1.0,1.0,Girona,1,9,2,22.2,0.11,0.5,15.7,0.0,0,0,1.1,1.1,0.12,-0.1,-0.1,Match Report,2022-10-15,14:00 (05:00),La Liga,Matchweek 9,Sat,Away,D,1.0,1.0,Girona,6,1,5,100.0,0,1.6,0.6,1,1,0,0,6.0,33.0,18.2,20.0,3.0,70.0,50.6,19.0,100.0,72.3,36.0,1.0,2.8,0.0,9.7,Match Report,2022-10-15,14:00 (05:00),La Liga,Matchweek 9,Sat,Away,D,1.0,1.0,Girona,206.0,306.0,67.3,4100.0,1697.0,69.0,90.0,76.7,93.0,115.0,80.9,31.0,78.0,39.7,1,0.8,1.0,6.0,8.0,4.0,2.0,12.0,Match Report,2022-10-15,14:00 (05:00),La Liga,Matchweek 9,Sat,Away,D,1.0,1.0,Girona,306.0,251.0,53.0,19.0,0.0,5.0,11,12.0,2.0,1.0,0.0,1.0,206.0,2.0,5.0,Match Report,2022-10-15,14:00 (05:00),La Liga,Matchweek 9,Sat,Away,D,1.0,1.0,Girona,14.0,9.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Match Report,2022-10-15,14:00 (05:00),La Liga,Matchweek 9,Sat,Away,D,1.0,1.0,Girona,17.0,12,14.0,1.0,2.0,12.0,17.0,70.6,5.0,5.0,3.0,2.0,5,22,40.0,0.0,Match Report,2022-10-15,14:00 (05:00),La Liga,Matchweek 9,Sat,Away,D,1.0,1.0,Girona,35.0,417.0,81.0,185.0,164.0,71.0,11.0,417.0,16.0,8.0,50.0,4.0,25.0,177.0,1127.0,601.0,11.0,9.0,2.0,8.0,7.0,204.0,12.0,Match Report,2022-10-15,14:00 (05:00),La Liga,Matchweek 9,Sat,Away,D,1.0,1.0,Girona,4,0,0,9,16,2,11,5,12,0.0,1.0,0,35.0,10.0,19.0,34.5,Match Report
2022-10-19,19:00 (10:00),La Liga,Matchweek 10,Wed,Home,D,0.0,0.0,Betis,0,13,3,23.1,0.0,0.0,19.2,0.0,0,0,0.9,0.9,0.07,-0.9,-0.9,Match Report,2022-10-19,19:00 (10:00),La Liga,Matchweek 10,Wed,Home,D,0.0,0.0,Betis,3,0,3,100.0,1,0.8,0.8,0,0,0,0,7.0,25.0,28.0,29.0,4.0,58.6,43.0,8.0,100.0,65.6,20.0,1.0,5.0,0.0,8.3,Match Report,2022-10-19,19:00 (10:00),La Liga,Matchweek 10,Wed,Home,D,0.0,0.0,Betis,278.0,381.0,73.0,4779.0,1867.0,151.0,177.0,85.3,86.0,105.0,81.9,31.0,76.0,40.8,0,0.7,0.7,8.0,24.0,6.0,1.0,33.0,Match Report,2022-10-19,19:00 (10:00),La Liga,Matchweek 10,Wed,Home,D,0.0,0.0,Betis,381.0,337.0,42.0,8.0,0.0,2.0,9,21.0,4.0,1.0,3.0,0.0,278.0,2.0,5.0,Match Report,2022-10-19,19:00 (10:00),La Liga,Matchweek 10,Wed,Home,D,0.0,0.0,Betis,20.0,15.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report,2022-10-19,19:00 (10:00),La Liga,Matchweek 10,Wed,Home,D,0.0,0.0,Betis,16.0,11,6.0,7.0,3.0,5.0,10.0,50.0,5.0,7.0,2.0,5.0,5,21,23.0,0.0,Match Report,2022-10-19,19:00 (10:00),La Liga,Matchweek 10,Wed,Home,D,0.0,0.0,Betis,41.0,486.0,66.0,177.0,190.0,121.0,18.0,486.0,19.0,8.0,42.1,10.0,52.6,288.0,1527.0,692.0,17.0,12.0,4.0,7.0,9.0,275.0,33.0,Match Report,2022-10-19,19:00 (10:00),La Liga,Matchweek 10,Wed,Home,D,0.0,0.0,Betis,1,0,0,15,7,2,9,5,11,0.0,0.0,0,49.0,13.0,17.0,43.3,Match Report
