For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,For Alavés_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,For Alavés_Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Match Report,For Alavés_Date,For Alavés_Time,For Alavés_Comp,For Alavés_Round,For Alavés_Day,For Alavés_Venue,For Alavés_Result,For Alavés_GF,For Alavés_GA,For Alavés_Opponent,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Match Report
2019-08-18,17:00 (08:00),La Liga,Matchweek 1,Sun,Home,W,1.0,0.0,Levante,1,9,2,22.2,0.11,0.5,18.6,1,0,0,0.5,0.5,0.05,0.5,0.5,Match Report,2019-08-18,17:00 (08:00),La Liga,Matchweek 1,Sun,Home,W,1.0,0.0,Levante,4,0,4,100.0,1,0.7,0.7,0,0,0,0,13,23,56.5,13,3,76.9,46.8,13,100.0,66.7,23,0,0.0,0,5.5,Match Report,2019-08-18,17:00 (08:00),La Liga,Matchweek 1,Sun,Home,W,1.0,0.0,Levante,207,313,66.1,4058,2127,111,130,85.4,58,100,58.0,33,66,50.0,1,0.4,0.5,6,20,4,2,23,Match Report,2019-08-18,17:00 (08:00),La Liga,Matchweek 1,Sun,Home,W,1.0,0.0,Levante,313,258,55,15,0,4,16,24,2,0,2,0,207,0,10,Match Report,2019-08-18,17:00 (08:00),La Liga,Matchweek 1,Sun,Home,W,1.0,0.0,Levante,16,9,3,1,1,2,0,2,1,1,0,0,0,0,Match Report,2019-08-18,17:00 (08:00),La Liga,Matchweek 1,Sun,Home,W,1.0,0.0,Levante,17,12,11,4,2,12,19,63.2,7,11,5,6,9,26,35,0,Match Report,2019-08-18,17:00 (08:00),La Liga,Matchweek 1,Sun,Home,W,1.0,0.0,Levante,38.0,419,65,152,165,102,10,419,11,8,72.7,3,27.3,166,856,461,9,5,1,9,12,204,23,Match Report,2019-08-18,17:00 (08:00),La Liga,Matchweek 1,Sun,Home,W,1.0,0.0,Levante,2,0,0,18,14,0,16,9,12,0,0,0,35,22,15,59.5,Match Report
2019-08-25,17:00 (08:00),La Liga,Matchweek 2,Sun,Home,D,0.0,0.0,Espanyol,0,10,2,20.0,0.0,0.0,18.3,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Match Report,2019-08-25,17:00 (08:00),La Liga,Matchweek 2,Sun,Home,D,0.0,0.0,Espanyol,1,0,1,100.0,1,0.1,0.1,0,0,0,0,10,16,62.5,10,2,70.0,42.8,9,100.0,62.0,9,0,0.0,0,15.0,Match Report,2019-08-25,17:00 (08:00),La Liga,Matchweek 2,Sun,Home,D,0.0,0.0,Espanyol,266,360,73.9,4997,2043,117,133,88.0,100,133,75.2,36,64,56.3,0,0.8,0.4,8,20,4,0,31,Match Report,2019-08-25,17:00 (08:00),La Liga,Matchweek 2,Sun,Home,D,0.0,0.0,Espanyol,360,303,55,10,0,7,15,32,3,1,2,0,266,2,10,Match Report,2019-08-25,17:00 (08:00),La Liga,Matchweek 2,Sun,Home,D,0.0,0.0,Espanyol,20,14,3,0,1,2,0,0,0,0,0,0,0,0,Match Report,2019-08-25,17:00 (08:00),La Liga,Matchweek 2,Sun,Home,D,0.0,0.0,Espanyol,17,6,9,4,4,8,24,33.3,16,4,1,3,17,34,23,0,Match Report,2019-08-25,17:00 (08:00),La Liga,Matchweek 2,Sun,Home,D,0.0,0.0,Espanyol,37.0,475,36,139,216,127,12,475,19,10,52.6,9,47.4,267,1250,603,16,15,2,20,12,265,31,Match Report,2019-08-25,17:00 (08:00),La Liga,Matchweek 2,Sun,Home,D,0.0,0.0,Espanyol,3,0,0,13,9,2,15,17,6,0,0,0,52,15,14,51.7,Match Report
2019-08-31,19:00 (10:00),La Liga,Matchweek 3,Sat,Away,D,1.0,1.0,Getafe,1,5,1,20.0,0.2,1.0,8.4,0,0,0,1.0,1.0,0.51,0.0,0.0,Match Report,2019-08-31,19:00 (10:00),La Liga,Matchweek 3,Sat,Away,D,1.0,1.0,Getafe,1,1,0,0.0,0,0.6,-0.4,0,0,0,0,17,30,56.7,23,2,87.0,55.6,13,76.9,55.3,13,0,0.0,0,5.0,Match Report,2019-08-31,19:00 (10:00),La Liga,Matchweek 3,Sat,Away,D,1.0,1.0,Getafe,176,313,56.2,3846,2413,78,112,69.6,52,85,61.2,40,93,43.0,0,0.7,0.1,1,12,1,0,12,Match Report,2019-08-31,19:00 (10:00),La Liga,Matchweek 3,Sat,Away,D,1.0,1.0,Getafe,313,259,49,12,1,3,4,20,2,0,2,0,176,5,4,Match Report,2019-08-31,19:00 (10:00),La Liga,Matchweek 3,Sat,Away,D,1.0,1.0,Getafe,5,2,0,0,3,0,0,1,0,0,0,1,0,0,Match Report,2019-08-31,19:00 (10:00),La Liga,Matchweek 3,Sat,Away,D,1.0,1.0,Getafe,13,6,10,3,0,7,14,50.0,7,16,6,10,5,18,32,1,Match Report,2019-08-31,19:00 (10:00),La Liga,Matchweek 3,Sat,Away,D,1.0,1.0,Getafe,39.0,419,66,206,173,44,10,419,8,4,50.0,4,50.0,164,641,275,3,1,1,13,6,174,12,Match Report,2019-08-31,19:00 (10:00),La Liga,Matchweek 3,Sat,Away,D,1.0,1.0,Getafe,1,0,0,17,11,5,4,5,6,0,0,0,52,30,25,54.5,Match Report
2019-09-15,14:00 (05:00),La Liga,Matchweek 4,Sun,Home,L,0.0,1.0,Sevilla,0,7,0,0.0,0.0,,17.5,0,0,0,0.8,0.8,0.12,-0.8,-0.8,Match Report,2019-09-15,14:00 (05:00),La Liga,Matchweek 4,Sun,Home,L,0.0,1.0,Sevilla,7,1,6,85.7,0,0.9,-0.1,0,0,0,0,9,18,50.0,24,7,50.0,40.2,7,85.7,55.7,15,0,0.0,0,9.8,Match Report,2019-09-15,14:00 (05:00),La Liga,Matchweek 4,Sun,Home,L,0.0,1.0,Sevilla,274,395,69.4,5263,2337,106,136,77.9,116,155,74.8,39,80,48.8,0,0.8,0.5,6,17,2,1,21,Match Report,2019-09-15,14:00 (05:00),La Liga,Matchweek 4,Sun,Home,L,0.0,1.0,Sevilla,395,350,44,11,1,4,20,22,2,1,0,0,274,1,5,Match Report,2019-09-15,14:00 (05:00),La Liga,Matchweek 4,Sun,Home,L,0.0,1.0,Sevilla,10,7,1,0,0,1,1,0,0,0,0,0,0,0,Match Report,2019-09-15,14:00 (05:00),La Liga,Matchweek 4,Sun,Home,L,0.0,1.0,Sevilla,27,20,16,9,2,18,30,60.0,12,19,8,11,14,41,27,0,Match Report,2019-09-15,14:00 (05:00),La Liga,Matchweek 4,Sun,Home,L,0.0,1.0,Sevilla,39.0,526,70,188,229,111,10,526,17,11,64.7,6,35.3,266,1266,673,13,13,1,19,3,274,21,Match Report,2019-09-15,14:00 (05:00),La Liga,Matchweek 4,Sun,Home,L,0.0,1.0,Sevilla,5,0,0,13,6,1,20,14,20,0,0,0,49,21,14,60.0,Match Report
2019-09-22,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,L,0.0,2.0,Athletic Club,0,4,1,25.0,0.0,0.0,20.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Match Report,2019-09-22,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,L,0.0,2.0,Athletic Club,3,2,1,66.7,0,2.0,0.0,1,1,0,0,10,21,47.6,24,4,58.3,39.8,8,87.5,53.4,10,0,0.0,0,4.5,Match Report,2019-09-22,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,L,0.0,2.0,Athletic Club,314,427,73.5,5505,2166,142,175,81.1,111,137,81.0,41,77,53.2,0,0.2,0.2,3,22,6,4,23,Match Report,2019-09-22,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,L,0.0,2.0,Athletic Club,427,378,49,13,0,2,11,23,2,0,0,0,314,0,9,Match Report,2019-09-22,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,L,0.0,2.0,Athletic Club,7,5,1,0,1,0,0,0,0,0,0,0,0,0,Match Report,2019-09-22,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,L,0.0,2.0,Athletic Club,14,7,7,6,1,6,11,54.5,5,7,1,6,11,25,17,0,Match Report,2019-09-22,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,L,0.0,2.0,Athletic Club,43.0,517,54,167,260,91,8,517,7,6,85.7,1,14.3,252,1049,546,2,8,0,18,5,313,23,Match Report,2019-09-22,18:30 (09:30),La Liga,Matchweek 5,Sun,Away,L,0.0,2.0,Athletic Club,4,0,0,19,11,0,11,11,7,0,1,0,38,19,21,47.5,Match Report
2019-09-26,21:00 (12:00),La Liga,Matchweek 6,Thu,Away,L,0.0,3.0,Real Sociedad,0,5,0,0.0,0.0,,12.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report,2019-09-26,21:00 (12:00),La Liga,Matchweek 6,Thu,Away,L,0.0,3.0,Real Sociedad,7,3,3,71.4,0,3.2,0.2,2,1,1,0,3,12,25.0,24,4,33.3,35.0,8,62.5,45.1,15,0,0.0,0,4.5,Match Report,2019-09-26,21:00 (12:00),La Liga,Matchweek 6,Thu,Away,L,0.0,3.0,Real Sociedad,294,377,78.0,4880,1837,149,170,87.6,102,115,88.7,34,62,54.8,0,0.2,0.2,4,15,2,2,20,Match Report,2019-09-26,21:00 (12:00),La Liga,Matchweek 6,Thu,Away,L,0.0,3.0,Real Sociedad,377,335,40,9,0,5,8,16,3,2,0,0,294,2,5,Match Report,2019-09-26,21:00 (12:00),La Liga,Matchweek 6,Thu,Away,L,0.0,3.0,Real Sociedad,9,6,1,1,1,0,0,0,0,0,0,0,0,0,Match Report,2019-09-26,21:00 (12:00),La Liga,Matchweek 6,Thu,Away,L,0.0,3.0,Real Sociedad,22,12,7,11,4,16,25,64.0,9,19,7,12,7,29,14,0,Match Report,2019-09-26,21:00 (12:00),La Liga,Matchweek 6,Thu,Away,L,0.0,3.0,Real Sociedad,41.0,486,69,175,245,71,16,486,16,10,62.5,6,37.5,296,1530,568,10,9,6,14,12,292,20,Match Report,2019-09-26,21:00 (12:00),La Liga,Matchweek 6,Thu,Away,L,0.0,3.0,Real Sociedad,4,1,1,20,6,2,8,7,12,0,2,0,38,23,13,63.9,Match Report
2019-09-29,16:00 (07:00),La Liga,Matchweek 7,Sun,Home,W,2.0,0.0,Mallorca,2,10,5,50.0,0.1,0.2,22.9,0,1,1,2.1,1.3,0.13,-0.1,-0.3,Match Report,2019-09-29,16:00 (07:00),La Liga,Matchweek 7,Sun,Home,W,2.0,0.0,Mallorca,1,0,1,100.0,1,0.0,0.0,0,0,0,0,5,14,35.7,18,3,61.1,41.0,4,75.0,51.8,7,1,14.3,1,12.5,Match Report,2019-09-29,16:00 (07:00),La Liga,Matchweek 7,Sun,Home,W,2.0,0.0,Mallorca,356,479,74.3,6740,2794,147,173,85.0,156,194,80.4,45,92,48.9,1,1.3,0.7,8,28,9,2,53,Match Report,2019-09-29,16:00 (07:00),La Liga,Matchweek 7,Sun,Home,W,2.0,0.0,Mallorca,479,424,55,13,0,6,18,33,4,1,2,0,356,0,6,Match Report,2019-09-29,16:00 (07:00),La Liga,Matchweek 7,Sun,Home,W,2.0,0.0,Mallorca,17,10,3,1,1,2,0,4,2,1,0,0,1,0,Match Report,2019-09-29,16:00 (07:00),La Liga,Matchweek 7,Sun,Home,W,2.0,0.0,Mallorca,18,10,9,8,1,6,13,46.2,7,10,2,8,9,27,21,0,Match Report,2019-09-29,16:00 (07:00),La Liga,Matchweek 7,Sun,Home,W,2.0,0.0,Mallorca,54.0,591,45,175,313,110,14,590,16,7,43.8,9,56.3,354,1382,603,9,6,1,13,12,355,53,Match Report,2019-09-29,16:00 (07:00),La Liga,Matchweek 7,Sun,Home,W,2.0,0.0,Mallorca,2,0,0,16,13,0,18,9,10,1,0,0,61,26,21,55.3,Match Report
2019-10-05,18:30 (09:30),La Liga,Matchweek 8,Sat,Away,L,1.0,2.0,Valencia,1,10,4,40.0,0.1,0.25,12.8,0,0,0,1.7,1.7,0.18,-0.7,-0.7,Match Report,2019-10-05,18:30 (09:30),La Liga,Matchweek 8,Sat,Away,L,1.0,2.0,Valencia,3,2,1,66.7,0,1.5,-0.5,1,1,0,0,7,17,41.2,15,4,46.7,37.8,10,100.0,63.6,14,0,0.0,0,6.0,Match Report,2019-10-05,18:30 (09:30),La Liga,Matchweek 8,Sat,Away,L,1.0,2.0,Valencia,292,396,73.7,5292,1922,129,159,81.1,116,137,84.7,34,73,46.6,0,0.9,1.0,8,19,6,1,25,Match Report,2019-10-05,18:30 (09:30),La Liga,Matchweek 8,Sat,Away,L,1.0,2.0,Valencia,396,349,47,9,1,3,19,18,7,4,3,0,292,0,6,Match Report,2019-10-05,18:30 (09:30),La Liga,Matchweek 8,Sat,Away,L,1.0,2.0,Valencia,18,12,3,0,2,1,0,1,0,0,0,1,0,0,Match Report,2019-10-05,18:30 (09:30),La Liga,Matchweek 8,Sat,Away,L,1.0,2.0,Valencia,12,9,5,5,2,3,10,30.0,7,11,1,10,9,21,16,0,Match Report,2019-10-05,18:30 (09:30),La Liga,Matchweek 8,Sat,Away,L,1.0,2.0,Valencia,44.0,482,47,148,223,116,25,482,10,4,40.0,6,60.0,300,1408,658,16,9,7,13,8,291,25,Match Report,2019-10-05,18:30 (09:30),La Liga,Matchweek 8,Sat,Away,L,1.0,2.0,Valencia,3,0,0,16,7,0,19,9,9,0,1,0,48,22,18,55.0,Match Report
2019-10-20,12:00 (03:00),La Liga,Matchweek 9,Sun,Home,W,2.0,0.0,Celta Vigo,2,12,5,41.7,0.17,0.4,11.7,0,0,0,2.1,2.1,0.18,-0.1,-0.1,Match Report,2019-10-20,12:00 (03:00),La Liga,Matchweek 9,Sun,Home,W,2.0,0.0,Celta Vigo,2,0,2,100.0,1,0.1,0.1,0,0,0,0,15,25,60.0,27,4,66.7,41.3,8,87.5,53.9,19,1,5.3,0,9.0,Match Report,2019-10-20,12:00 (03:00),La Liga,Matchweek 9,Sun,Home,W,2.0,0.0,Celta Vigo,256,364,70.3,5033,2591,120,155,77.4,95,125,76.0,40,70,57.1,2,2.1,1.9,11,19,8,1,34,Match Report,2019-10-20,12:00 (03:00),La Liga,Matchweek 9,Sun,Home,W,2.0,0.0,Celta Vigo,364,323,40,7,0,1,14,20,4,0,3,0,256,1,7,Match Report,2019-10-20,12:00 (03:00),La Liga,Matchweek 9,Sun,Home,W,2.0,0.0,Celta Vigo,24,17,4,0,1,1,1,4,1,1,0,1,0,1,Match Report,2019-10-20,12:00 (03:00),La Liga,Matchweek 9,Sun,Home,W,2.0,0.0,Celta Vigo,22,15,7,13,2,10,22,45.5,12,12,5,7,11,33,17,1,Match Report,2019-10-20,12:00 (03:00),La Liga,Matchweek 9,Sun,Home,W,2.0,0.0,Celta Vigo,38.0,473,59,147,226,104,18,473,12,5,41.7,7,58.3,251,1375,583,10,10,3,12,7,256,34,Match Report,2019-10-20,12:00 (03:00),La Liga,Matchweek 9,Sun,Home,W,2.0,0.0,Celta Vigo,5,0,0,20,5,1,14,11,15,0,0,0,57,23,12,65.7,Match Report
2019-10-25,21:00 (12:00),La Liga,Matchweek 10,Fri,Away,L,1.0,4.0,Villarreal,1,12,3,25.0,0.08,0.33,17.9,1,0,0,0.8,0.8,0.06,0.2,0.2,Match Report,2019-10-25,21:00 (12:00),La Liga,Matchweek 10,Fri,Away,L,1.0,4.0,Villarreal,8,4,4,50.0,0,2.9,-1.1,0,0,0,0,13,20,65.0,19,4,63.2,42.7,8,100.0,58.9,10,0,0.0,1,26.0,Match Report,2019-10-25,21:00 (12:00),La Liga,Matchweek 10,Fri,Away,L,1.0,4.0,Villarreal,238,352,67.6,4696,2160,105,136,77.2,83,113,73.5,46,80,57.5,0,0.3,0.4,5,20,3,1,20,Match Report,2019-10-25,21:00 (12:00),La Liga,Matchweek 10,Fri,Away,L,1.0,4.0,Villarreal,352,295,54,15,2,2,16,22,4,2,2,0,238,3,10,Match Report,2019-10-25,21:00 (12:00),La Liga,Matchweek 10,Fri,Away,L,1.0,4.0,Villarreal,17,8,4,0,2,3,0,2,2,0,0,0,0,0,Match Report,2019-10-25,21:00 (12:00),La Liga,Matchweek 10,Fri,Away,L,1.0,4.0,Villarreal,14,9,7,5,2,7,24,29.2,17,16,6,10,11,25,20,1,Match Report,2019-10-25,21:00 (12:00),La Liga,Matchweek 10,Fri,Away,L,1.0,4.0,Villarreal,37.0,461,55,145,217,104,12,461,12,5,41.7,7,58.3,245,1216,552,9,6,1,12,6,235,20,Match Report,2019-10-25,21:00 (12:00),La Liga,Matchweek 10,Fri,Away,L,1.0,4.0,Villarreal,2,0,0,13,11,3,16,11,9,0,0,0,43,22,12,64.7,Match Report
