Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Performance_PSxG,Performance_PSxG+/-,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA Types_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Poss,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,competition_tier
2019-08-25,20:45 (11:45),Serie A,Matchweek 1,Sun,Away,W,1,0,Cagliari,1,9,1,11.1,0.0,0.0,15.3,0.0,1,1,1.3,0.6,0.06,-0.3,-0.6,4,0,4,100.0,1,0.9,0.9,0,0,0,0,4.0,12.0,33.3,21.0,8.0,47.6,41.9,9.0,22.2,27.0,24.0,0.0,0.0,0.0,7.5,263.0,402.0,65.4,4982.0,2011.0,119.0,154.0,77.3,92.0,124.0,74.2,43.0,85.0,50.6,0,0.4,0.3,6.0,17.0,6.0,0.0,38.0,402.0,340.0,55.0,11.0,0.0,6.0,20,26.0,8.0,1.0,4.0,0.0,263.0,7.0,13.0,16.0,8.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,8,7.0,2.0,3.0,8.0,12.0,66.7,4.0,10.0,4.0,6.0,11,23,39.0,0.0,43.0,521.0,78.0,201.0,185.0,138.0,25.0,520.0,12.0,10.0,83.3,2.0,16.7,226.0,1244.0,811.0,15.0,8.0,6.0,17.0,7.0,260.0,38.0,2,0,0,12,9,7,20,11,8,0.0,0.0,0,48.0,28.0,24.0,53.8,1
2019-08-31,18:00 (09:00),Serie A,Matchweek 2,Sat,Away,L,0,1,Milan,0,6,1,16.7,0.0,0.0,17.8,1.0,0,0,0.7,0.7,0.12,-0.7,-0.7,4,1,3,75.0,0,1.2,0.2,0,0,0,0,5.0,12.0,41.7,21.0,6.0,57.1,40.0,7.0,0.0,21.1,16.0,1.0,6.3,0.0,4.5,251.0,355.0,70.7,4457.0,1790.0,100.0,125.0,80.0,112.0,141.0,79.4,25.0,56.0,44.6,0,0.5,0.4,3.0,10.0,4.0,1.0,24.0,355.0,303.0,46.0,12.0,0.0,4.0,11,22.0,3.0,2.0,0.0,0.0,251.0,6.0,9.0,11.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8,14.0,8.0,1.0,8.0,21.0,38.1,13.0,13.0,5.0,8.0,6,29,25.0,0.0,38.0,471.0,74.0,210.0,180.0,84.0,12.0,471.0,7.0,4.0,57.1,3.0,42.9,191.0,1113.0,560.0,12.0,8.0,2.0,6.0,15.0,250.0,24.0,4,0,0,18,14,6,11,6,8,0.0,0.0,0,46.0,16.0,17.0,48.5,1
2019-09-15,15:00 (06:00),Serie A,Matchweek 3,Sun,Home,L,3,4,Bologna,3,9,6,66.7,0.33,0.5,21.5,0.0,0,0,1.3,1.3,0.14,1.7,1.7,7,4,4,42.9,0,2.1,-0.9,0,0,0,0,5.0,19.0,26.3,15.0,5.0,66.7,45.7,12.0,75.0,51.0,21.0,0.0,0.0,0.0,6.2,193.0,295.0,65.4,3336.0,1601.0,94.0,114.0,82.5,72.0,94.0,76.6,19.0,68.0,27.9,3,1.3,0.9,7.0,23.0,5.0,1.0,29.0,295.0,239.0,55.0,18.0,1.0,3.0,13,18.0,2.0,0.0,2.0,0.0,193.0,1.0,5.0,15.0,11.0,1.0,1.0,0.0,2.0,0.0,6.0,4.0,1.0,0.0,0.0,1.0,0.0,15.0,10,8.0,5.0,2.0,10.0,15.0,66.7,5.0,9.0,2.0,7.0,4,19,23.0,0.0,34.0,400.0,62.0,135.0,165.0,102.0,12.0,400.0,11.0,7.0,63.6,4.0,36.4,170.0,1015.0,556.0,13.0,11.0,3.0,10.0,9.0,192.0,28.0,2,1,1,15,16,1,13,4,10,0.0,0.0,1,39.0,20.0,26.0,43.5,1
2019-09-21,15:00 (06:00),Serie A,Matchweek 4,Sat,Away,W,1,0,Udinese,1,9,4,44.4,0.11,0.25,23.0,0.0,0,0,0.8,0.8,0.09,0.2,0.2,3,0,3,100.0,1,0.4,0.4,0,0,0,0,5.0,22.0,22.7,25.0,2.0,76.0,47.9,5.0,60.0,52.2,16.0,1.0,6.3,1.0,14.0,250.0,381.0,65.6,4238.0,1865.0,112.0,143.0,78.3,98.0,127.0,77.2,26.0,71.0,36.6,0,0.2,0.3,5.0,18.0,7.0,0.0,31.0,381.0,310.0,69.0,24.0,1.0,3.0,12,30.0,9.0,1.0,4.0,0.0,250.0,2.0,11.0,15.0,8.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,10,7.0,8.0,5.0,8.0,15.0,53.3,7.0,15.0,4.0,11.0,5,25,25.0,0.0,43.0,506.0,51.0,169.0,227.0,118.0,14.0,506.0,16.0,9.0,56.3,7.0,43.8,218.0,1071.0,458.0,4.0,3.0,1.0,21.0,14.0,248.0,31.0,4,0,0,18,20,2,12,5,10,0.0,0.0,0,68.0,27.0,15.0,64.3,1
2019-09-24,21:00 (12:00),Serie A,Matchweek 5,Tue,Home,L,1,2,Juventus,1,16,3,18.8,0.06,0.33,19.4,2.0,0,0,0.7,0.7,0.05,0.3,0.3,5,2,4,60.0,0,1.5,0.5,0,0,0,0,5.0,16.0,31.3,28.0,8.0,39.3,34.9,10.0,50.0,41.9,8.0,0.0,0.0,1.0,8.4,270.0,366.0,73.8,5276.0,2101.0,95.0,116.0,81.9,117.0,139.0,84.2,46.0,79.0,58.2,1,0.6,0.8,12.0,20.0,9.0,7.0,28.0,366.0,307.0,56.0,15.0,0.0,6.0,21,24.0,4.0,0.0,1.0,0.0,270.0,3.0,9.0,31.0,28.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,6,8.0,3.0,0.0,4.0,11.0,36.4,7.0,13.0,7.0,6.0,16,27,11.0,0.0,33.0,473.0,68.0,167.0,204.0,110.0,18.0,473.0,14.0,9.0,64.3,5.0,35.7,247.0,1198.0,697.0,8.0,12.0,0.0,12.0,8.0,267.0,26.0,1,0,0,13,13,3,21,16,6,0.0,0.0,1,39.0,8.0,7.0,53.3,1
2019-09-29,12:30 (03:30),Serie A,Matchweek 6,Sun,Away,L,1,2,Napoli,1,16,3,18.8,0.06,0.33,15.2,1.0,0,0,1.1,1.1,0.07,-0.1,-0.1,7,2,5,71.4,0,1.5,-0.5,0,0,0,0,2.0,5.0,40.0,19.0,6.0,15.8,25.6,11.0,18.2,22.1,21.0,0.0,0.0,1.0,10.7,357.0,458.0,77.9,6154.0,2485.0,150.0,175.0,85.7,143.0,170.0,84.1,41.0,71.0,57.7,1,0.9,0.6,12.0,23.0,9.0,3.0,33.0,458.0,403.0,53.0,11.0,1.0,5.0,22,22.0,7.0,1.0,5.0,0.0,357.0,2.0,12.0,24.0,13.0,4.0,2.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,7,7.0,4.0,0.0,8.0,16.0,50.0,8.0,7.0,1.0,6.0,9,20,26.0,0.0,45.0,555.0,86.0,216.0,223.0,120.0,20.0,555.0,9.0,6.0,66.7,3.0,33.3,301.0,1431.0,742.0,11.0,9.0,0.0,10.0,13.0,356.0,32.0,1,0,0,8,9,2,22,9,7,0.0,0.0,0,53.0,12.0,11.0,52.2,1
2019-10-21,21:00 (12:00),Serie A,Matchweek 8,Mon,Home,D,0,0,Fiorentina,0,3,1,33.3,0.0,0.0,13.6,0.0,0,0,0.5,0.5,0.16,-0.5,-0.5,4,0,4,100.0,1,0.6,0.6,0,0,0,0,3.0,15.0,20.0,24.0,9.0,41.7,35.1,6.0,83.3,54.8,16.0,1.0,6.3,1.0,6.7,293.0,425.0,68.9,5335.0,1940.0,122.0,144.0,84.7,120.0,150.0,80.0,39.0,85.0,45.9,0,0.5,0.5,2.0,19.0,8.0,1.0,31.0,425.0,368.0,55.0,16.0,1.0,5.0,15,26.0,6.0,2.0,3.0,0.0,293.0,2.0,12.0,6.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7,8.0,5.0,0.0,4.0,8.0,50.0,4.0,9.0,3.0,6.0,11,24,19.0,0.0,46.0,522.0,60.0,181.0,245.0,99.0,13.0,522.0,10.0,4.0,40.0,6.0,60.0,278.0,1586.0,982.0,14.0,7.0,1.0,10.0,9.0,291.0,31.0,0,0,0,10,14,2,15,11,7,0.0,0.0,0,55.0,17.0,18.0,48.6,1
2019-10-26,20:45 (11:45),Serie A,Matchweek 9,Sat,Away,L,1,3,Genoa,1,7,2,28.6,0.14,0.5,19.1,2.0,0,0,1.2,1.2,0.17,-0.2,-0.2,10,3,7,70.0,0,2.3,-0.7,0,0,0,0,5.0,8.0,62.5,16.0,5.0,43.8,33.9,3.0,33.3,30.3,14.0,0.0,0.0,0.0,10.7,254.0,339.0,74.9,4575.0,1789.0,115.0,135.0,85.2,95.0,113.0,84.1,35.0,62.0,56.5,0,1.0,0.6,4.0,21.0,4.0,0.0,30.0,339.0,281.0,57.0,23.0,1.0,4.0,13,24.0,3.0,1.0,1.0,0.0,254.0,1.0,9.0,12.0,5.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,7,5.0,5.0,4.0,3.0,9.0,33.3,6.0,8.0,4.0,4.0,12,26,18.0,1.0,38.0,459.0,46.0,149.0,192.0,123.0,12.0,459.0,17.0,14.0,82.4,3.0,17.6,208.0,1257.0,696.0,11.0,9.0,1.0,14.0,8.0,253.0,30.0,4,0,0,15,24,1,13,12,7,0.0,0.0,0,42.0,5.0,14.0,26.3,1
2019-10-29,21:00 (13:00),Serie A,Matchweek 10,Tue,Home,L,1,2,Inter,0,15,6,40.0,0.0,0.0,14.2,0.0,0,0,1.8,1.8,0.13,-1.8,-1.8,2,2,0,0.0,0,0.4,-1.6,0,0,0,0,3.0,8.0,37.5,26.0,5.0,23.1,28.9,7.0,28.6,29.6,16.0,0.0,0.0,1.0,22.0,297.0,412.0,72.1,5680.0,2335.0,133.0,173.0,76.9,124.0,153.0,81.0,39.0,70.0,55.7,0,0.6,0.8,9.0,30.0,15.0,3.0,48.0,412.0,353.0,57.0,23.0,0.0,3.0,32,15.0,9.0,2.0,3.0,0.0,297.0,2.0,11.0,26.0,17.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4,4.0,7.0,1.0,2.0,8.0,25.0,6.0,10.0,6.0,4.0,3,15,23.0,0.0,43.0,509.0,63.0,162.0,198.0,155.0,32.0,509.0,11.0,10.0,90.9,1.0,9.1,241.0,1291.0,738.0,12.0,10.0,1.0,15.0,2.0,297.0,48.0,4,0,0,14,17,2,32,3,4,0.0,0.0,0,50.0,14.0,22.0,38.9,1
2019-11-03,15:00 (06:00),Serie A,Matchweek 11,Sun,Away,L,1,2,Hellas Verona,1,16,5,31.3,0.06,0.2,18.8,2.0,0,0,0.9,0.9,0.06,0.1,0.1,3,2,1,33.3,0,1.2,-0.8,0,0,0,0,2.0,8.0,25.0,19.0,8.0,31.6,31.6,7.0,28.6,35.1,13.0,1.0,7.7,1.0,11.6,312.0,421.0,74.1,5878.0,2526.0,140.0,167.0,83.8,126.0,162.0,77.8,43.0,75.0,57.3,1,0.5,0.9,10.0,30.0,15.0,7.0,50.0,421.0,364.0,55.0,19.0,0.0,7.0,24,25.0,1.0,0.0,1.0,0.0,312.0,2.0,7.0,26.0,18.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,8,4.0,3.0,2.0,5.0,9.0,55.6,4.0,8.0,2.0,6.0,7,16,17.0,1.0,48.0,512.0,51.0,158.0,224.0,133.0,23.0,512.0,9.0,8.0,88.9,1.0,11.1,235.0,1881.0,1300.0,20.0,13.0,1.0,14.0,6.0,309.0,50.0,4,1,0,15,19,2,24,7,8,0.0,0.0,0,58.0,19.0,15.0,55.9,1
